iter	Passed	Remaining
0	0	744
1	1	686
2	2	712
3	2	734
4	3	728
5	4	710
6	4	693
7	5	682
8	6	673
9	6	665
10	7	659
11	7	653
12	8	649
13	9	645
14	9	642
15	10	645
16	11	644
17	11	643
18	12	640
19	13	639
20	13	636
21	14	634
22	14	631
23	15	632
24	16	632
25	16	630
26	17	629
27	18	640
28	19	642
29	19	642
30	20	639
31	21	638
32	21	636
33	22	637
34	23	636
35	23	635
36	24	633
37	25	638
38	25	637
39	26	636
40	27	635
41	27	633
42	28	632
43	29	630
44	29	630
45	30	630
46	30	628
47	31	626
48	32	628
49	33	629
50	34	634
51	34	634
52	35	633
53	36	631
54	36	630
55	37	629
56	37	628
57	38	626
58	39	626
59	40	626
60	40	626
61	41	625
62	41	624
63	42	623
64	43	625
65	44	625
66	44	625
67	45	624
68	46	622
69	46	622
70	47	622
71	48	622
72	49	622
73	49	622
74	50	622
75	51	622
76	51	621
77	52	619
78	53	618
79	53	616
80	54	616
81	55	616
82	55	612
83	56	611
84	56	610
85	57	609
86	58	609
87	58	608
88	59	607
89	60	606
90	60	605
91	61	605
92	62	605
93	62	604
94	63	602
95	63	601
96	64	600
97	65	598
98	65	597
99	66	596
100	66	595
101	67	594
102	68	593
103	68	594
104	69	594
105	70	593
106	70	592
107	71	591
108	72	589
109	72	588
110	73	587
111	73	586
112	74	585
113	75	584
114	75	583
115	76	583
116	76	581
117	77	580
118	78	579
119	78	578
120	79	577
121	79	575
122	80	574
123	81	573
124	82	578
125	83	578
126	84	581
127	85	582
128	86	586
129	87	587
130	89	591
131	91	601
132	93	606
133	94	608
134	95	613
135	96	613
136	97	616
137	99	620
138	100	623
139	101	624
140	102	624
141	102	622
142	103	621
143	104	619
144	104	618
145	105	617
146	106	616
147	106	615
148	107	614
149	108	613
150	108	612
151	109	610
152	110	609
153	110	607
154	111	606
155	111	605
156	112	604
157	113	603
158	114	603
159	114	602
160	115	600
161	115	599
162	116	598
163	117	597
164	117	596
165	118	594
166	118	593
167	119	592
168	120	592
169	121	591
170	121	590
171	122	588
172	122	587
173	123	586
174	124	585
175	124	583
176	125	582
177	125	581
178	126	580
179	127	579
180	127	578
181	128	576
182	128	575
183	129	574
184	130	573
185	130	572
186	131	570
187	131	569
188	132	568
189	133	567
190	133	566
191	134	566
192	135	565
193	135	564
194	136	563
195	137	562
196	137	562
197	138	562
198	139	561
199	140	560
200	140	559
201	141	559
202	142	559
203	143	558
204	143	557
205	144	556
206	145	555
207	145	554
208	146	553
209	146	552
210	147	551
211	148	550
212	148	549
213	149	548
214	150	548
215	150	547
216	151	546
217	151	544
218	152	543
219	153	542
220	153	541
221	154	540
222	154	539
223	155	538
224	156	537
225	156	537
226	157	536
227	158	535
228	158	533
229	159	532
230	159	531
231	160	530
232	160	529
233	161	528
234	162	527
235	162	526
236	163	525
237	163	525
238	164	524
239	165	523
240	165	522
241	166	521
242	167	520
243	167	519
244	168	518
245	168	517
246	170	518
247	171	518
248	171	518
249	172	517
250	173	516
251	173	516
252	174	515
253	175	514
254	175	514
255	176	513
256	177	512
257	177	511
258	178	511
259	179	511
260	180	510
261	180	509
262	181	508
263	182	507
264	182	506
265	183	505
266	183	504
267	184	503
268	185	503
269	185	502
270	186	501
271	187	501
272	188	500
273	188	500
274	189	499
275	190	499
276	191	498
277	191	497
278	192	496
279	192	496
280	193	495
281	194	494
282	195	494
283	195	493
284	196	492
285	196	491
286	197	490
287	198	489
288	198	488
289	199	487
290	199	487
291	200	486
292	201	486
293	202	485
294	202	484
295	203	483
296	204	482
297	204	482
298	205	481
299	205	480
300	206	479
301	207	478
302	208	478
303	208	477
304	209	477
305	210	476
306	210	475
307	211	475
308	212	474
309	212	473
310	213	472
311	213	471
312	214	471
313	215	470
314	215	469
315	216	469
316	217	468
317	218	467
318	218	466
319	219	466
320	220	465
321	220	464
322	221	464
323	222	463
324	222	462
325	223	462
326	224	461
327	225	461
328	225	460
329	226	459
330	227	458
331	227	458
332	228	457
333	228	456
334	229	455
335	230	455
336	231	454
337	231	453
338	232	453
339	233	452
340	233	451
341	234	450
342	234	449
343	235	448
344	236	448
345	236	447
346	237	446
347	238	446
348	238	445
349	239	444
350	239	443
351	240	442
352	241	442
353	241	441
354	242	440
355	242	439
356	243	438
357	244	438
358	245	437
359	245	436
360	246	435
361	246	435
362	247	434
363	248	433
364	248	432
365	249	431
366	249	431
367	250	430
368	251	429
369	251	429
370	252	428
371	253	427
372	253	426
373	254	426
374	255	425
375	255	424
376	256	423
377	256	422
378	257	421
379	258	421
380	258	420
381	259	420
382	260	419
383	261	418
384	261	417
385	262	417
386	262	416
387	263	415
388	264	414
389	264	413
390	265	413
391	265	412
392	266	411
393	267	411
394	268	410
395	268	409
396	269	408
397	269	408
398	270	407
399	271	406
400	271	405
401	272	405
402	272	404
403	273	403
404	274	403
405	275	402
406	275	401
407	276	400
408	276	399
409	277	399
410	278	398
411	278	397
412	279	396
413	279	396
414	280	395
415	281	394
416	281	394
417	282	393
418	283	392
419	283	392
420	284	391
421	285	390
422	286	390
423	286	389
424	287	388
425	287	387
426	288	387
427	289	386
428	290	386
429	290	385
430	291	384
431	291	383
432	292	383
433	293	382
434	293	381
435	294	380
436	295	380
437	295	379
438	296	379
439	297	378
440	298	378
441	298	377
442	299	376
443	300	376
444	300	375
445	301	374
446	302	373
447	302	373
448	303	372
449	304	371
450	304	371
451	305	370
452	306	369
453	306	368
454	307	368
455	308	367
456	308	367
457	309	366
458	310	365
459	311	365
460	311	364
461	312	363
462	313	363
463	313	362
464	314	361
465	315	361
466	315	360
467	316	359
468	317	359
469	318	359
470	318	358
471	319	357
472	320	356
473	320	356
474	321	355
475	322	354
476	322	353
477	323	352
478	323	352
479	324	351
480	325	350
481	325	350
482	326	349
483	326	348
484	327	347
485	328	347
486	328	346
487	329	345
488	330	344
489	330	344
490	331	343
491	332	342
492	332	342
493	333	341
494	334	340
495	334	339
496	335	339
497	335	338
498	336	337
499	336	336
500	337	336
501	338	335
502	338	334
503	339	334
504	340	333
505	340	332
506	341	332
507	342	331
508	342	330
509	343	329
510	344	329
511	344	328
512	345	327
513	346	327
514	346	326
515	347	325
516	347	325
517	348	324
518	349	323
519	349	322
520	350	322
521	351	321
522	351	320
523	352	319
524	352	319
525	353	318
526	354	318
527	354	317
528	355	316
529	356	315
530	356	315
531	357	314
532	358	313
533	358	313
534	359	312
535	360	311
536	360	311
537	361	310
538	362	309
539	362	308
540	363	308
541	363	307
542	364	306
543	365	306
544	365	305
545	366	304
546	367	303
547	367	303
548	368	302
549	369	302
550	369	301
551	370	300
552	371	300
553	372	300
554	373	299
555	374	298
556	375	298
557	376	297
558	376	297
559	377	296
560	378	296
561	379	295
562	380	294
563	380	294
564	381	293
565	382	293
566	383	292
567	384	292
568	385	291
569	385	290
570	386	290
571	387	289
572	387	288
573	388	288
574	388	287
575	389	286
576	390	286
577	391	285
578	391	284
579	392	284
580	393	283
581	393	282
582	394	282
583	394	281
584	395	280
585	396	279
586	396	279
587	397	278
588	398	277
589	399	277
590	399	276
591	400	276
592	401	275
593	401	274
594	402	274
595	403	273
596	404	272
597	404	272
598	405	271
599	406	270
600	406	270
601	407	269
602	408	268
603	408	267
604	409	267
605	409	266
606	410	265
607	411	265
608	411	264
609	412	263
610	413	263
611	413	262
612	414	261
613	415	261
614	415	260
615	416	259
616	417	258
617	417	258
618	418	257
619	419	256
620	419	256
621	420	255
622	421	254
623	421	254
624	422	253
625	423	252
626	423	252
627	424	251
628	424	250
629	425	249
630	426	249
631	426	248
632	427	247
633	428	247
634	428	246
635	429	245
636	430	245
637	430	244
638	431	243
639	432	243
640	432	242
641	433	241
642	434	241
643	434	240
644	435	239
645	436	238
646	436	238
647	437	237
648	438	237
649	439	236
650	439	235
651	440	235
652	441	234
653	442	233
654	442	233
655	443	232
656	444	231
657	444	231
658	445	230
659	445	229
660	446	229
661	447	228
662	447	227
663	448	227
664	449	226
665	449	225
666	450	224
667	451	224
668	451	223
669	452	222
670	452	222
671	453	221
672	454	220
673	455	220
674	456	219
675	456	218
676	457	218
677	457	217
678	458	216
679	459	216
680	459	215
681	460	214
682	460	213
683	461	213
684	462	212
685	463	211
686	463	211
687	464	210
688	464	209
689	465	209
690	466	208
691	466	207
692	467	206
693	467	206
694	468	205
695	469	204
696	470	204
697	470	203
698	471	203
699	472	202
700	472	201
701	473	200
702	473	200
703	474	199
704	475	198
705	475	198
706	476	197
707	477	196
708	477	196
709	478	195
710	478	194
711	479	193
712	480	193
713	480	192
714	481	191
715	482	191
716	482	190
717	483	189
718	484	189
719	484	188
720	485	187
721	486	187
722	486	186
723	487	185
724	487	185
725	488	184
726	489	183
727	489	182
728	490	182
729	491	181
730	491	180
731	492	180
732	492	179
733	493	178
734	494	178
735	494	177
736	495	176
737	496	176
738	496	175
739	497	174
740	497	174
741	498	173
742	499	172
743	500	172
744	500	171
745	501	170
746	502	170
747	502	169
748	503	168
749	504	168
750	504	167
751	505	166
752	506	166
753	506	165
754	507	164
755	508	163
756	508	163
757	509	162
758	510	161
759	510	161
760	511	160
761	511	159
762	512	159
763	513	158
764	514	158
765	515	157
766	516	156
767	516	156
768	517	155
769	518	154
770	519	154
771	520	153
772	521	152
773	521	152
774	522	151
775	523	151
776	524	150
777	525	149
778	525	149
779	526	148
780	527	147
781	528	147
782	529	146
783	529	145
784	530	145
785	531	144
786	532	144
787	532	143
788	533	142
789	534	142
790	537	141
791	538	141
792	539	140
793	540	140
794	541	139
795	542	138
796	543	138
797	543	137
798	544	136
799	545	136
800	545	135
801	546	134
802	547	134
803	547	133
804	548	132
805	549	132
806	550	131
807	550	130
808	551	130
809	552	129
810	552	128
811	553	128
812	554	127
813	555	126
814	555	126
815	556	125
816	557	124
817	557	124
818	558	123
819	559	122
820	559	122
821	560	121
822	561	120
823	561	119
824	562	119
825	563	118
826	564	117
827	564	117
828	565	116
829	566	115
830	566	115
831	567	114
832	568	113
833	569	113
834	569	112
835	570	111
836	571	111
837	572	110
838	572	109
839	573	109
840	574	108
841	575	107
842	575	107
843	576	106
844	576	105
845	577	105
846	578	104
847	578	103
848	579	103
849	580	102
850	580	101
851	581	101
852	582	100
853	583	99
854	583	98
855	584	98
856	585	97
857	585	96
858	586	96
859	587	95
860	587	94
861	588	94
862	589	93
863	589	92
864	590	92
865	591	91
866	591	90
867	592	90
868	593	89
869	594	88
870	594	88
871	595	87
872	595	86
873	596	85
874	597	85
875	597	84
876	598	83
877	599	83
878	599	82
879	600	81
880	601	81
881	602	80
882	602	79
883	603	79
884	604	78
885	605	77
886	606	77
887	607	76
888	608	75
889	609	75
890	609	74
891	610	73
892	611	73
893	611	72
894	612	71
895	613	71
896	613	70
897	614	69
898	615	69
899	616	68
900	616	67
901	617	67
902	617	66
903	618	65
904	619	65
905	619	64
906	620	63
907	621	62
908	621	62
909	622	61
910	623	60
911	623	60
912	624	59
913	625	58
914	625	58
915	626	57
916	627	56
917	627	56
918	628	55
919	628	54
920	629	53
921	630	53
922	630	52
923	631	51
924	632	51
925	632	50
926	633	49
927	633	49
928	634	48
929	635	47
930	635	47
931	636	46
932	637	45
933	637	45
934	638	44
935	639	43
936	639	43
937	640	42
938	641	41
939	641	40
940	642	40
941	642	39
942	643	38
943	644	38
944	644	37
945	645	36
946	646	36
947	646	35
948	647	34
949	648	34
950	648	33
951	649	32
952	649	32
953	650	31
954	651	30
955	652	30
956	652	29
957	653	28
958	653	27
959	654	27
960	655	26
961	655	25
962	656	25
963	656	24
964	657	23
965	658	23
966	659	22
967	659	21
968	660	21
969	661	20
970	661	19
971	662	19
972	663	18
973	663	17
974	664	17
975	665	16
976	665	15
977	666	15
978	667	14
979	668	13
980	668	12
981	669	12
982	670	11
983	670	10
984	671	10
985	671	9
986	672	8
987	673	8
988	674	7
989	674	6
990	675	6
991	675	5
992	676	4
993	677	4
994	677	3
995	678	2
996	679	2
997	679	1
998	680	0
999	680	0
